"ProductID";"ProductName";"Description";"Price";"CategoryID";"QuantityInStock";"ImageURL"
1;"Kente Cloth";"Traditional woven fabric from Ghana";50.0;2;94;"kente_cloth.jpg"
2;"Maasai Beaded Necklace";"Handcrafted jewelry from Maasai culture";35.0;2;75;"maasai_necklace.jpg"
3;"African Djembe Drum";"Authentic musical instrument from West Africa";120.0;4;25;"djembe_drum.jpg"
4;"Nigerian Ankara Fabric";"Vibrant printed fabric from Nigeria";40.0;2;90;"ankara_fabric.jpg"
5;"Zulu Basket";"Handwoven basketry from Zulu tradition";25.0;4;50;"zulu_basket.jpg"
6;"Kenyan Coffee Beans";"High-quality coffee beans from Kenya";18.0;5;120;"kenyan_coffee.jpg"
7;"Mozambican Cashew Nuts";"Premium cashew nuts from Mozambique";15.0;5;80;"mozambique_cashews.jpg"
8;"South African Rooibos Tea";"Naturally caffeine-free herbal tea from South Africa";12.0;5;97;"rooibos_tea.jpg"
9;"Ethiopian Coptic Cross";"Hand-carved religious symbol from Ethiopia";65.0;3;30;"coptic_cross.jpg"
10;"Ghanaian Shea Butter";"Pure shea butter from Ghana for skincare";20.0;5;60;"ghana_shea_butter.jpg"
11;"Tanzanian Ebony Wood Carving";"Intricately carved sculpture made from ebony wood";75.0;4;25;"tanzanian_wood_carving.jpg"
12;"African Mud Cloth";"Traditional handwoven fabric dyed with mud";45.0;2;70;"mud_cloth.jpg"
13;"Namibian Himba Jewelry Set";"Unique jewelry set inspired by Himba culture";55.0;2;45;"himba_jewelry.jpg"
14;"Ivorian Cocoa Beans";"Premium cocoa beans sourced from Ivory Coast";22.0;5;85;"ivory_coast_cocoa.jpg"
15;"Senegalese Djembe Drum";"Traditional drumming instrument from Senegal";110.0;4;35;"senegalese_djembe.jpg"
16;"Moroccan Argan Oil";"Pure argan oil renowned for skincare";30.0;5;55;"moroccan_argan_oil.jpg"
17;"Cameroonian Bamileke Hat";"Artisanal hat handcrafted by Bamileke people";40.0;2;60;"bamileke_hat.jpg"
18;"Rwandan Imigongo Art";"Unique art made from cow dung and colored soil";50.0;4;40;"rwandan_imigongo.jpg"
19;"Egyptian Cotton Towels";"Luxurious towels made from Egyptian cotton";28.0;2;75;"egyptian_towels.jpg"
21;"African Handcrafted Phone Case";"Artisanal phone case made from local materials";30.0;1;80;"african_phone_case.jpg"
22;"Solar-Powered Lantern";"Energy-efficient lantern powered by solar panels";55.0;1;40;"solar_lantern.jpg"
23;"Ethiopian Handwoven Tablet Sleeve";"Tablet sleeve woven using Ethiopian traditional methods";40.0;1;60;"tablet_sleeve.jpg"
24;"Nigerian Made Bluetooth Speaker";"High-quality Bluetooth speaker with Nigerian craftsmanship";75.0;1;50;"bluetooth_speaker.jpg"
25;"Kenyan Handcarved Phone Stand";"Phone stand hand-carved from Kenyan hardwood";25.0;1;70;"phone_stand.jpg"
26;"African Folktales Anthology";"Collection of traditional African folk stories";20.0;3;90;"african_folktales.jpg"
27;"Contemporary African Poetry Book";"Modern poetry showcasing African voices";18.0;3;80;"african_poetry.jpg"
28;"Historical African Novels Box Set";"Set of novels depicting African history";45.0;3;70;"african_novels.jpg"
29;"African Mud Cloth Pillow Covers";"Pillow covers made from traditional African mud cloth";30.0;4;60;"mud_cloth_pillow.jpg"
30;"Hand-carved African Mask Wall Art";"Decorative wall art in the form of an African mask";55.0;4;45;"african_mask_art.jpg"
